Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
19.02734375,1217,4123.0771484375,4154.4873046875,4046.0256347656,4133.4614257812,4153.9741210938,4158.58984375,4150.1284179688,4137.6923828125,4134.3588867188,4133.0771484375,4120.7690429688,4135.0,4104.3588867188,4141.1538085938,,,
5.9375,380,4156.0258789062,4158.7177734375,4024.4870605469,4154.8715820312,4169.4873046875,4156.2822265625,4168.9741210938,4151.5385742188,4177.3076171875,4179.3588867188,4206.5385742188,4177.4360351562,4217.5639648438,4148.9741210938,,,
13.3359375,853,4134.3588867188,4143.9741210938,4230.2563476562,4126.6665039062,4138.58984375,4156.1538085938,4166.5385742188,4134.4873046875,4126.0258789062,4134.7436523438,4140.384765625,4120.1284179688,4087.3076171875,4136.1538085938,,,
2.8984375,185,4129.8715820312,4105.7690429688,4092.4357910156,4151.1538085938,4111.6665039062,4152.0512695312,4127.5639648438,4166.2822265625,4123.205078125,4121.0258789062,4112.3076171875,4117.5639648438,4136.794921875,4155.384765625,,,
0.8359375,53,4168.3334960938,4141.2822265625,4196.6665039062,4179.2309570312,4150.1284179688,4163.9741210938,4154.615234375,4148.58984375,4157.1796875,4162.9487304688,4165.2563476562,4148.4614257812,4237.9487304688,4173.0771484375,,,
4.22265625,270,4148.58984375,4168.7177734375,4202.5639648438,4193.9741210938,4150.7690429688,4163.4614257812,4138.58984375,4112.0512695312,4120.7690429688,4115.6411132812,4096.2822265625,4126.9228515625,4001.5385742188,4136.794921875,,,
16.36328125,1047,4231.0258789062,4215.5126953125,4218.3334960938,4176.0258789062,4246.2822265625,4177.5639648438,4272.0512695312,4297.6923828125,4307.3076171875,4317.0512695312,4392.3076171875,4319.3588867188,4329.4873046875,4274.8715820312,,,
9.53515625,610,4168.7177734375,4154.7436523438,4211.5385742188,4223.9741210938,4155.5126953125,4155.2563476562,4151.9228515625,4152.8203125,4144.2309570312,4154.2309570312,4228.8461914062,4232.5639648438,4153.8461914062,4223.4614257812,,,
9.81640625,628,4163.8461914062,4161.0258789062,4171.5385742188,4157.6923828125,4163.9741210938,4156.1538085938,4169.2309570312,4186.1538085938,4173.7177734375,4174.3588867188,4156.6665039062,4158.58984375,4161.0258789062,4226.0258789062,,,
6.84765625,438,4172.0512695312,4153.0771484375,4196.794921875,4160.384765625,4152.9487304688,4156.794921875,4155.1284179688,4161.0258789062,4149.3588867188,4153.8461914062,4138.3334960938,4148.8461914062,4141.5385742188,4154.1025390625,,,
